Anzuelos,Anzuelos > Acero inox,018800,880-SS,"Anzuelo especial Big-Game. Extrafuerte, forjado, recto.",Book partner,018800,4.99,20
Anzuelos,Anzuelos > Acero inox,011880,AJI TYPE DOUBLE,"Anzuelo extrafuerte forjado",Book partner,011880,4.99,20
Anzuelos,Anzuelos > Aparejos,020184,APAREJO COMPETICIÓN FLUROROCARBON,"Montado con anzuelos CHINU. Bajo de línea recomendado tanto para la pesca de Surf-Casting como para embarcación fondeada. Compuesto de línea madre del 0,50. Monofilamento de Fluorocarbono. La sujeción de las cametas sobre la línea madre es mediante perlas perforadas en cruz. Con este sistema evitaremos cualquier rizo sobre la línea madre, a la vez que podremos cambiar el anzuelo cuando deseemos sin tener que desechar el bajo. Largo: 1,60 m.",Book partner,020184,4.99,20
Anzuelos,Anzuelos > Aparejos,020405,APAREJO SARDINA CABLE DE ACERO,"Cada aparejo está montado con tres anzuelos 1533-D. Presentación: Bolsa de 2 aparejos. Caja de 10 bolsas.",Book partner,020405,4.99,20
Anzuelos,Anzuelos > Carbono,010014,1533-D Permatin,"Forjado, torcido, pico de loro.",Book partner,010014,4.99,20
Anzuelos,Anzuelos > Carbono,011513,2515-G,"",Book partner,011513,4.99,20
Anzuelos,Anzuelos > Montados,012171,1533-D,"Anzuelo niquelado permatin. Hilo: 1,30 m. Paquete de 25 carteras. Carteras de 10 anzuelos.",Book partner,012171,14.99,20
Anzuelos,Anzuelos > Montados,012128,2515-N,"Anzuelo recto niquelado. Largo del hilo: 120cm. Cartera de 10 anzuelos. Presentación: Caja de 10 carteras.",Book partner,012128,9.99,20
Anzuelos,Anzuelos > Triplex,010402,BR,"Bronceado, recto.",Book partner,010402,4.99,20
Anzuelos,Anzuelos > Triplex,010650,MSD 5X,"Anzuelo carbono. Caja 50 uds.",Book partner,010650,4.99,20
Anzuelos,Anzuelos > Triplex carbono,014560,NNI ROUND,"Negro níquel, forjado. Paquete de 10 cajas.",Book partner,014560,4.99,20
Cañas,Cañas > Enchufables > Carbono egge,002841,ARTAX,"Caña fabricada en carbono composite con puntera flexi-glass maciza capaz de detectar cualquier picada. Ideal para la pesca de Egging o de cefalópodos. Equipada con anillas SIC y portacarretes ergonómico DPS.",Book partner,002841,39.99,20
Cañas,Cañas > Enchufables > Carbono egge,002881,HIROSHI,"Caña fabricada en carbono composite de acción progresiva fuerte, con puntera flexi-glass maciza, capaz de detectar cualquier picada. Ideal para la pesca de Egging o embarcación. Equipada con anillas SIC y portacarretes ergonómico DPS.",Book partner,002881,25.99,20
Cañas,Cañas > Enchufables > Carbono egge,005160,HOTARU,"Caña fabricada en carbono de acción progresiva fuerte, con puntera flexiglass maciza, capaz de detectar cualquier picada. Ideal para la pesca de Egging o embarcación. Equipada con anillas Fuji y portacarretes ergonómico DPS.",Book partner,005160,32.99,20
Cañas,Cañas > Enchufables > Carbono jigging,008601,JIGGING COR,"Mango de HYPALON. Anillas tipo globo. Portacarretes de grafito ALPS con tuerca de seguridad de aluminio. Talón con cruceta de aluminio.",Book partner,008601,29.99,20
Cañas,Cañas > Enchufables > Carbono jigging,005301,ADMIRAL,"Caña con puntera híbrida de acción progresiva. Equipada con anillas Hard con montura especial para embarcación. Mango de EVA.",Book partner,005301,49.99,20
Cañas,Cañas > Enchufables > Carbono jigging,004700,KAMAYE,"Caña de acción progresiva ligera y potente. Ideal para la pesca de jigging. Mango anatómico de EVA. Contera con cruceta metálica con tapón sobredimensionado.",Book partner,004700,39.99,20
Cañas,Cañas > Enchufables > Carbono mosca,024400,STARFLY,"Especial para la pesca con cola de rata. Acabados de lujo, con porta-carretes de madera rosebud". Gran sensibilidad y precisión para hacer frente a cualquier tipo de pequeños salmónidos."",Book partner,024400,19.99,20
Cañas,Cañas > Enchufables > Carbono Popping,007050,KIKAI,"Fabricadas y ensambladas en Japón, las nuevas cañas Kikai tienen unos acabados de alta calidad que no se encuentran en el mercado. Son el perfecto reflejo de la alta tecnología de Japón, diseñadas con todos los conceptos de precisión, rendimiento, resistencia y la comodidad que ello conlleva. Los blanks han sido fabricados al vacío en carbono Toray 30T QGX. Con esta nueva técnica de fabricación se le confiere al producto una resistencia a la tracción excepcional, siendo robustas, fiables y flexibles, consiguiendo que el nervio tenga una vida útil extrema. Cada caña ha sido diseñada para ofrecer el rendimiento necesario para su objetivo, consiguiendo una precisión máxima en el lanzado. Su gran reserva de potencia nos permitirá pelear con cualquier captura. Este modelo va equipado con anillas, portacarretes y talón de combate de la marca Fuji.",Book partner,007050,29.99,20
Cañas,Cañas > Enchufables > Carbono rock fishing,282125,PRAIANO,"Caña fabricada en carbono con anillas LVSG y portacarretes ergonómico DPS. Con una acción semi parabólica ideal para para la pesca de rock fishing o spinning Light.",Book partner,282125,39.99,20
Cañas,Cañas > Enchufables > Carbono spin-casting,002804,ARES BOAT,"Caña fabricada en carbono de altísimo módulo trenzado con doble puntera. Puntera flexi-glass maciza capaz de detectar cualquier picada y puntera tubular de carbono trenzado para las jornadas más intensas. Equipada con anillas SIC y portacarretes ergonómico DPS.",Book partner,002804,39.99,20
Cañas,Cañas > Enchufables > Carbono spinning,002830,BLADSPIN,"Caña fabricada en carbono de alto módulo, de acción semiparabólica con la que se consigue obtener lances precisos y un movimiento en el señuelo idóneo. Equipada con anillas Fuji, mango ergonómico en EVA y portacarretes DPS.",Book partner,002830,49.99,20
Cañas,Cañas > Enchufables > Carbono surf-casting,008361,ANTHIA KW,"Caña ideal para el surfcasting con una puntera tubular hí­brida tratada con pintura fluor. Nuevo sistema de fabricación con doble pared de carbono Alto Módulo. Equipada con anillas SEA GUIDE "K" y portacarretes DPS. Sistema de alineación de tramos. Funda Zun Zun Premium incorporada.",Book partner,008361,32.99,20
